country;sector;f
Australia;Agriculture, Hunting, Forestry and Fishing;0
Australia;Mining and Quarrying;0
Australia;Food, Beverages and Tobacco;0
Australia;Textiles and Textile Products;0
Australia;Leather, Leather and Footwear;0
Australia;Wood and Products of Wood and Cork;0
Australia;Pulp, Paper, Paper , Printing and Publishing;0
Australia;Coke, Refined Petroleum and Nuclear Fuel;0
Australia;Chemicals and Chemical Products;0
Australia;Rubber and Plastics;0
Australia;Other Non-Metallic Mineral;0
Australia;Basic Metals and Fabricated Metal;0
Australia;Machinery, Nec;0
Australia;Electrical and Optical Equipment;0
Australia;Transport Equipment;0
Australia;"Manufacturing, Nec; Recycling";0
Australia;Electricity, Gas and Water Supply;0
Australia;Construction;0
Australia;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Australia;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Australia;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Australia;Hotels and Restaurants;0
Australia;Inland Transport;0
Australia;Water Transport;0
Australia;Air Transport;0
Australia;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Australia;Post and Telecommunications;0
Australia;Financial Intermediation;0
Australia;Real Estate Activities;0
Australia;Renting of M&Eq and Other Business Activities;0
Australia;"Public Admin and Defence; Compulsory Social Security";0
Australia;Education;0
Australia;Health and Social Work;0
Australia;Other Community, Social and Personal Services;0
Australia;Private Households with Employed Persons;0
Austria;Agriculture, Hunting, Forestry and Fishing;0
Austria;Mining and Quarrying;0
Austria;Food, Beverages and Tobacco;0
Austria;Textiles and Textile Products;0
Austria;Leather, Leather and Footwear;0
Austria;Wood and Products of Wood and Cork;0
Austria;Pulp, Paper, Paper , Printing and Publishing;0
Austria;Coke, Refined Petroleum and Nuclear Fuel;0
Austria;Chemicals and Chemical Products;0
Austria;Rubber and Plastics;0
Austria;Other Non-Metallic Mineral;0
Austria;Basic Metals and Fabricated Metal;0
Austria;Machinery, Nec;0
Austria;Electrical and Optical Equipment;0
Austria;Transport Equipment;0
Austria;"Manufacturing, Nec; Recycling";0
Austria;Electricity, Gas and Water Supply;0
Austria;Construction;0
Austria;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";0
Austria;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;0
Austria;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";0
Austria;Hotels and Restaurants;0
Austria;Inland Transport;0
Austria;Water Transport;0
Austria;Air Transport;0
Austria;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";0
Austria;Post and Telecommunications;0
Austria;Financial Intermediation;0
Austria;Real Estate Activities;0
Austria;Renting of M&Eq and Other Business Activities;0
Austria;"Public Admin and Defence; Compulsory Social Security";0
Austria;Education;0
Austria;Health and Social Work;0
Austria;Other Community, Social and Personal Services;0
Austria;Private Households with Employed Persons;0
Belgium;Agriculture, Hunting, Forestry and Fishing;0
Belgium;Mining and Quarrying;0
Belgium;Food, Beverages and Tobacco;0
Belgium;Textiles and Textile Products;0
Belgium;Leather, Leather and Footwear;0
Belgium;Wood and Products of Wood and Cork;0
Belgium;Pulp, Paper, Paper , Printing and Publishing;0
Belgium;Coke, Refined Petroleum and Nuclear Fuel;0
Belgium;Chemicals and Chemical Products;0
Belgium;Rubber and Plastics;0
Belgium;Other Non-Metallic Mineral;0
Belgium;Basic Metals and Fabricated Metal;0
Belgium;Machinery, Nec;0
Belgium;Electrical and Optical Equipment;0
Belgium;Transport Equipment;0
Belgium;"Manufacturing, Nec; Recycling";0
Belgium;Electricity, Gas and Water Supply;0
Belgium;Construction;0
